"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)"
"_AlphaAlphaAdd","Alpha Add","Suma alfa del canal A","Ein Alpha-Add","アルファ追加","A 알파 추가","A Alpha 添加"
"m_start_rgbanormals","RGBA Normals","Normales RGBA","Normale","ノーマル(法線)","노멀","RGBA 法线"
"_RGBNormalBlend","RGBA Normal Blend","Mezclar con la base","Mit Base verblenden","ベースとブレンド","베이스와 블렌드","与基础混合"
"_RgbNormalR","Normal","Normal del canal R","R Normal","Rノーマル","R 노멀","R 通道法线"
"_RgbNormalRPan","Pan","Barrido","Pfanne","パン","팬","平移"
"_RgbNormalRUV","UV","UV","UV","UV","UV","UV"
"_RgbNormalRStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_RgbNormalRScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度"
"_RgbNormalG","Normal","Normal del canal G","G Normal","Gノーマル","G 노멀","G 通道法线"
"_RgbNormalGPan","Pan","Barrido","Pfanne","パン","팬","平移"
"_RgbNormalGUV","UV","UV","UV","UV","UV","UV"
"_RgbNormalGStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_RgbNormalGScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度"
"_RgbNormalB","Normal","Normal del canal B","B Normal","Bノーマル","B 노멀","B 通道法线"
"_RgbNormalBPan","Pan","Barrido","Pfanne","パン","팬","平移"
"_RgbNormalBUV","UV","UV","UV","UV","UV","UV"
"_RgbNormalBStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_RgbNormalBScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度"
"_RgbNormalA","Normal","Normal del canal A","Ein normaler","Aノーマル","A 노멀","A 通道法线"
"_RgbNormalAPan","Pan","Barrido","Pfanne","パン","팬","平移"
"_RgbNormalAUV","UV","UV","UV","UV","UV","UV"
"_RgbNormalAStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样"
"_RgbNormalAScale","Normal Intensity","Intensidad","Intensität","強さ","강도","强度"
"m_start_DecalSection","Decals","Calcomanías","Abziehbilder","デカール","데칼","贴花 (Decals)"
"_DecalMask","RGBA Mask [Click to Expand]","Máscara de calcomanías (RGBA)","Aufkleber RGBA-Maske","デカール RGBA マスク","데칼 RGBA 마스크","贴花遮罩 (RGBA)"
"_DecalTPSDepthMaskEnabled","<size=13><b>  TPS Depth Enabled</b></size>","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b> TPS-Tiefe aktiviert</b></size>","<size=13><b>TPS 深度有効</b></size>","<size=13><b>TPS 깊이 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>"
"_Decal0TPSMaskStrength","Mask r Strength","Intensidad de la máscara (Canal R)","Maske r Stärke","マスク R 強さ","마스크 R 강도","遮罩 R 强度"
"_Decal1TPSMaskStrength","Mask g Strength","Intensidad de la máscara (Canal G)","Maske g Stärke","マスク G 強さ","마스크 G 강도","遮罩 G 强度"
"_Decal2TPSMaskStrength","Mask b Strength","Intensidad de la máscara (Canal B)","Maske b Stärke","マスク B 強さ","마스크 B 강도","遮罩 B 强度"
"_Decal3TPSMaskStrength","Mask a Strength","Intensidad de la máscara (Canal A)","Maskiere eine Stärke","マスク A 強さ","마스크 A 강도","遮罩 A 强度"
"m_start_Decal0","Decal 0","Calcomanía 0","Aufkleber 0","デカール 0","데칼 0","贴花 0"
"_DecalEnabled","Enable","Activar calcomanía","Aktivieren","有効","활성화","启用贴花"
"_Decal0MaskChannel","Mask Channel","Canal de máscara","Maskenkanal","マスクチャンネル","마스크 채널","遮罩通道"
"_Decal0GlobalMask","Apply From Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_Decal0GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DecalColor","Color","Color","Farbe","色","색상","颜色"
"_DecalEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_DecalTexture","Decal","Textura","Abziehbild","デカール","데칼","贴花纹理"
"_DecalTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DecalTextureUV","UV","UV","UV","UV","UV","UV"
"_DecalTiled","Tiled","Calcomanía en mosaico","Gefliest","タイル表示","타일링","平铺"
"_Decal0Depth","Depth","Profundidad","Tiefe","深さ","깊이","深度"
"_DecalScale","Scale","Escala","Skala","規模","스케일","缩放"
"_DecalSideOffset","Side Offset","Desplazamiento lateral","Seitenversatz","サイドオフセット","측면 오프셋","侧面偏移"
"_DecalPosition","Position","Posición","Position","位置","위치","位置"
"_DecalRotation","Rotation","Rotación","Drehung","回転","회전","旋转"
"_DecalRotationSpeed","Rotation Speed","Velocidad de rotación","Drehgeschwindigkeit","回転速度","회전 속도","旋转速度"
"_DecalBlendType","Color Blend Mode","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DecalBlendAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_DecalOverrideAlpha","Alpha Blend Mode","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha"
"_Decal0ApplyGlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩"
"_Decal0ApplyGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DecalHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_DecalHueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_DecalHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_Decal0HueAngleStrength","Hue Angle Power","Intensidad del tono por ángulo","Farbwinkelleistung","角のぼかしの強さ","색조 각도 강도","角度色相强度"
"_Decal0ChannelSeparationEnable","Chromatic Aberration","<size=13><b>Separación de canales </b></size>","<size=13><b>Kanaltrennung</b></size>","<size=13><b>チャンネル分離</b></size>","<size=13><b>채널 분리</b></size>","<size=13><b>通道分离</b></size>"
"_Decal0ChannelSeparation","Intensity","Separación","Intensität","強さ","강도","分离强度"
"_Decal0ChannelSeparationAngleStrength","Surface Angle Intensity","Intensidad de la separación por ángulo","Intensität des Oberflächenwinkels","表面角度の強さ","표면 각도 강도","表面角度强度"
"_Decal0ChannelSeparationHue","Hue","Tono","Farbton","ぼかし","색조","色相"
"_Decal0ChannelSeparationVertical","Direction","Dirección","Richtung","方向","방향","方向"
"_Decal0ChannelSeparationPremultiply","Premultiply Alpha","Alfa premultiplicativo","Alpha vormultiplizieren","事前乗算アルファ","알파 미리 곱하기","预乘 Alpha"
"m_start_Decal0AudioLink","Audio Link ♫","AudioLink ♫","Audiolink ♫","オーディオリンク♫","오디오링크 ♫","AudioLink ♫"
"_AudioLinkDecal0ScaleBand","Scale Band","Banda de escala","Skalenband","スケールバンド","스케일 밴드","缩放频段"
"_AudioLinkDecal0Scale","Scale Mod","Modificador de escala","Skalen-Mod","スケールモッド","스케일 모드","缩放调节"
"_AudioLinkDecal0SideBand","Side Band","Banda lateral","Seitenband","サイドバンド","측면 밴드","侧边频段"
"_AudioLinkDecal0SideMin","Side Mod Min","Lateral mínimo","Seite zu min","横から最小","측면 최소","侧边最小"
"_AudioLinkDecal0SideMax","Side Mod Max","Lateral máximo","Seitenmod max","サイド モッド 最大","측면 모드 최대","侧边调节最大"
"_AudioLinkDecal0RotationBand","Rotation Band","Banda de rotación","Rotationsband","回転バンド","회전 밴드","旋转频段"
"_AudioLinkDecal0Rotation","Rotation Mod","Modificador de rotación","Rotationsmod","ローテーション・モッド","회전 모드","旋转调节"
"_AudioLinkDecal0AlphaBand","Alpha Band","Banda alfa","Alphaband","アルファバンド","알파 밴드","Alpha 频段"
"_AudioLinkDecal0Alpha","Alpha Mod","Modificador alfa","Alpha-Mod","アルファモッド","알파 모드","Alpha 调节"
"_AudioLinkDecal0EmissionBand","Emission Band","Banda de la emisión","Emissionsband","発光バンド","방출 밴드","发光频段"
"_AudioLinkDecal0Emission","Emission Mod","Modificador de la emisión","Emissionsmod","発光モッド","방출 모드","发光调节"
"_AudioLinkDecalCC0","CC Strip","Banda de acordes de color","CC-Streifen","CCストリップ","CC 스트립","颜色编码条 (Color Chord)"
"_DecalRotationCTALBand0","Chrono Rotation Band","Banda de rotación de cronotensidad","Chronorotationsband","クロノローテーションバンド","크로노 회전 밴드","时间旋转频段"
"_DecalRotationCTALType0","Chrono Motion Type","Tipo de movimiento de cronotensidad","Chrono-Bewegungstyp","クロノモーションタイプ","크로노 모션 타입","时间运动类型"
"_DecalRotationCTALSpeed0","Chrono Rotation Speed","Velocidad de rotación de cronotensidad","Chrono Rotationsgeschwindigkeit","クロノ回転速度","크로노 회전 속도","时间旋转速度"
"_AudioLinkDecal0ChannelSeparationBand","Chromatic Aberration Band","Banda de separación de canales","Kanaltrennungsband","バンドチャンネル分離帯域","채널 분리 밴드","通道分离频段"
"_AudioLinkDecal0ChannelSeparation","Chromatic Aberration","Separación de canales","Kanaltrennung","チャンネル分離","채널 분리","通道分离"
"m_start_Decal1","Decal 1","Calcomanía 1","Aufkleber 1","デカール1","데칼 1","贴花 1"
"_DecalEnabled1","Enable","Activar calcomanía","Aktivieren","有効","활성화","启用贴花"
"_Decal1MaskChannel","Mask Channel","Canal de máscara","Maskenkanal","マスクチャンネル","마스크 채널","遮罩通道"
"_Decal1GlobalMask","Apply From Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩"
"_Decal1GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DecalColor1","Color","Color","Farbe","色","색상","颜色"
"_DecalEmissionStrength1","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度"
"_DecalTexture1","Decal","Textura","Abziehbild","デカール","데칼","贴花纹理"
"_DecalTexture1Pan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_DecalTexture1UV","UV","UV","UV","UV","UV","UV"
"_DecalTiled1","Tiled","Calcomanía en mosaico","Gefliest","タイル表示","타일링","平铺"
"_Decal1Depth","Depth","Profundidad","Tiefe","深さ","깊이","深度"
"_DecalScale1","Scale","Escala","Skala","規模","스케일","缩放"
"_DecalSideOffset1","Side Offset","Desplazamiento lateral","Seitenversatz","サイドオフセット","측면 오프셋","侧面偏移"
"_DecalPosition1","Position","Posición","Position","位置","위치","位置"
"_DecalRotation1","Rotation","Rotación","Drehung","回転","회전","旋转"
"_DecalRotationSpeed1","Rotation Speed","Velocidad de rotación","Drehgeschwindigkeit","回転速度","회전 속도","旋转速度"
"_DecalBlendType1","Color Blend Mode","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DecalBlendAlpha1","Alpha","Alfa","Alpha","アルファ","알파","Alpha"
"_DecalOverrideAlpha1","Alpha Blend Mode","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha"
"_Decal1ApplyGlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩"
"_Decal1ApplyGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型"
"_DecalHueShiftEnabled1","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>"
"_DecalHueShiftSpeed1","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度"
"_DecalHueShift1","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_Decal1HueAngleStrength","Hue Angle Power","Intensidad de tono por ángulo","Farbwinkelleistung","角のぼかしの強さ","색조 각도 강도","角度色相强度"
"_Decal1ChannelSeparationEnable","Chromatic Aberration","<size=13><b>Separación de canales </b></size>","<size=13><b>Kanaltrennung</b></size>","<size=13><b>チャンネル分離</b></size>","<size=13><b>채널 분리</b></size>","<size=13><b>通道分离</b></size>"
"_Decal1ChannelSeparation","Intensity","Separación","Intensität","強さ","강도","分离强度"
"_Decal1ChannelSeparationAngleStrength","Surface Angle Intensity","Intensidad de la separación por ángulo","Intensität des Oberflächenwinkels","表面角度の強さ","표면 각도 강도","表面角度强度"
"_Decal1ChannelSeparationHue","Hue","Tono","Farbton","ぼかし","색조","色相"
"_Decal1ChannelSeparationVertical","Direction","Dirección","Richtung","方向","방향","方向"
"_Decal1ChannelSeparationPremultiply","Premultiply Alpha","Alfa premultiplicativo","Alpha vormultiplizieren","事前乗算アルファ","알파 미리 곱하기","预乘 Alpha"
"m_start_Decal1AudioLink","Audio Link ♫","AudioLink ♫","Audiolink ♫","オーディオリンク♫","오디오링크 ♫","AudioLink ♫"
"_AudioLinkDecal1ScaleBand","Scale Band","Banda de escala","Skalenband","スケールバンド","스케일 밴드","缩放频段"
"_AudioLinkDecal1Scale","Scale Mod","Modificador de escala","Skalen-Mod","スケールモッド","스케일 모드","缩放调节"
"_AudioLinkDecal1SideBand","Side Band","Banda lateral","Seitenband","サイドバンド","측면 밴드","侧边频段"
"_AudioLinkDecal1SideMin","Side Mod Min","Lateral mínimo","Seite zu min","横から最小","측면 최소","侧边最小"
"_AudioLinkDecal1SideMax","Side Mod Max","Lateral máximo","Seitenmod max","サイド モッド 最大","측면 모드 최대","侧边调节最大"
"_AudioLinkDecal1RotationBand","Rotation Band","Banda de rotación","Rotationsband","回転バンド","회전 밴드","旋转频段"
"_AudioLinkDecal1Rotation","Rotation Mod","Modificador de rotación","Rotationsmod","ローテーション・モッド","회전 모드","旋转调节"
